[1027/070803.766:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1027/073256.043:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1027/074716.305:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1027/080440.134:ERROR:directory_reader_win.cc(43)] FindFirstFile: The system cannot find the path specified. (0x3)
[1118/132007.447:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1118/150216.011:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1118/150452.352:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1118/151350.985:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1118/151436.537:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1118/153918.693:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1118/154141.872:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1118/155456.998:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1118/162307.474:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1118/163036.939:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1118/165021.343:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1118/165227.709:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1118/170020.750:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1118/170612.281:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1118/171210.700:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
[1118/172101.729:ERROR:file_io.cc(90)] ReadExactly: expected 36, observed 0
